LONGITUDE,LATITUDE,LABEL,LAYER,SYMBOL,KML_STYL
-80.2955177,25.3122254,1626,"""""","""""",""""""
-80.422483,25.605923,11404,"""""","""""",""""""
-80.1408537,25.8504824,12001,"""""","""""",""""""
-80.2556035,25.7038153,12005,"""""","""""",""""""
-80.1533752,25.9027037,12006,"""""","""""",""""""
-80.15104,25.9055336,12006,"""""","""""",""""""
-80.2875109,25.658953,12018,"""""","""""",""""""
-80.3022593,25.8488893,12022,"""""","""""",""""""
-80.3942311,25.5813725,12312,Boundary Survey,"""""",""""""
-80.4131084,25.7130928,13001,"""""","""""",""""""
-80.2858792,25.6690275,13008,"""""","""""",""""""
-80.3419516,25.6880689,13013,"""""","""""",""""""
-80.3669529,25.6517419,13016,"""""","""""",""""""
-80.2634324,25.7998809,13022,"""""","""""",""""""
-80.2813438,25.8347259,13030,"""""","""""",""""""
-80.2708423,25.709947,13038,"""""","""""",""""""
-80.3145071,25.729394,13041,"""""","""""",""""""
-80.2568648,25.7078284,13044,"""""","""""",""""""
-80.1514774,25.9437658,13062,"""""","""""",""""""
-80.3411847,25.8075708,13063,"""""","""""",""""""
-80.3030413,25.7505234,13067,"""""","""""",""""""
-80.3049992,26.0155342,13074,"""""","""""",""""""
-80.2569064,25.6963713,13076,"""""","""""",""""""
-80.4428922,25.7159493,13077,"""""","""""",""""""
-80.2599417,25.7295601,13081,"""""","""""",""""""
-80.2568731,25.7725265,13092,"""""","""""",""""""
-80.2862356,25.6697555,13099,"""""","""""",""""""
-80.3202337,25.6312896,13100,"""""","""""",""""""
-80.255483,25.704239,13102,"""""","""""",""""""
-80.2905816,25.6746003,13105,"""""","""""",""""""
-80.4041175,25.6862847,13112,"""""","""""",""""""
-80.355191,25.965026,13114,"""""","""""",""""""
-80.2518278,25.7075876,13115,"""""","""""",""""""
-80.49236,25.4351558,13116,"""""","""""",""""""
-80.4187837,25.4909828,13120,"""""","""""",""""""
-80.437756,25.702666,13124,"""""","""""",""""""
-80.3043833,25.703601,13125,"""""","""""",""""""
-80.253346,26.024281,13127,"""""","""""",""""""
-80.285867,25.693912,13132,"""""","""""",""""""
-80.3482934,25.9263362,13133,"""""","""""",""""""
-80.2615159,25.7703402,13134,"""""","""""",""""""
-80.1920293,25.8029234,13137,"""""","""""",""""""
-80.160115,25.891048,13138,"""""","""""",""""""
-80.3535913,25.8191314,13140,"""""","""""",""""""
-80.3083812,25.6854015,13143,"""""","""""",""""""
-80.293012,25.81269,13144,"""""","""""",""""""
-80.2812965,25.6792502,13145,"""""","""""",""""""
-80.1418776,25.7829366,13155,"""""","""""",""""""
-80.2159055,26.3078681,13160,"""""","""""",""""""
-80.257154,25.711755,13163,"""""","""""",""""""
-80.280616,25.693067,13164,"""""","""""",""""""
-80.3707027,25.8414018,13168,"""""","""""",""""""
-80.27014,25.770538,13169,"""""","""""",""""""
-80.2032529,26.2813338,13171,"""""","""""",""""""
-80.2994961,25.7325911,13176,"""""","""""",""""""
-80.1659278,25.8894448,13177,"""""","""""",""""""
-80.3892575,25.5806025,13178,"""""","""""",""""""
-80.220778,25.9524644,13179,"""""","""""",""""""
-80.12904,25.89369,13180,"""""","""""",""""""
-80.121943,25.950006,13181,"""""","""""",""""""
-80.2677438,25.742019,13182,"""""","""""",""""""
-80.2674801,25.7416551,13182,"""""","""""",""""""
-80.2992158,25.6552231,13187,"""""","""""",""""""
-80.186108,25.9202124,13190,"""""","""""",""""""
-80.1391653,25.8497489,13197,"""""","""""",""""""
-80.1648078,25.7343931,13212,"""""","""""",""""""
-80.3273713,25.6216181,13216,"""""","""""",""""""
-80.2748746,25.3149282,13227,"""""","""""",""""""
-80.2606408,25.7685611,13231,"""""","""""",""""""
-80.0759709,26.6178721,13237,"""""","""""",""""""
-80.2451597,25.8630289,13246,"""""","""""",""""""
-80.2833077,25.66797,13247,"""""","""""",""""""
-80.2766743,25.315383,13253,"""""","""""",""""""
-80.2769922,25.3130473,13258,"""""","""""",""""""
-80.1919832,25.8036816,13262,"""""","""""",""""""
-80.140146,26.1669261,13263,"""""","""""",""""""
-80.2986409,25.8420301,13265,"""""","""""",""""""
-80.2866722,25.2988805,13274,"""""","""""",""""""
-80.3130002,25.6519646,13275,"""""","""""",""""""
-80.3210642,25.6033121,13292,"""""","""""",""""""
-80.3822739,25.75333,13295,"""""","""""",""""""
-80.2775896,25.3130084,13298,"""""","""""",""""""
-80.3745759,25.849609,13300,"""""","""""",""""""
-80.2893217,25.7038173,13308,"""""","""""",""""""
-80.3254172,25.8338723,13309,"""""","""""",""""""
-80.1260578,25.846103,13312,"""""","""""",""""""
-80.1354349,25.7902234,13314,"""""","""""",""""""
-80.1954865,25.8523325,13316,"""""","""""",""""""
-80.2579661,25.3312239,13317,"""""","""""",""""""
-80.2581797,25.3310297,13318,"""""","""""",""""""
