LONGITUDE,LATITUDE,LABEL,LAYER,SYMBOL,KML_STYLE
-80.19016249,25.76589178,20175,Topographic Survey,2021 LONGITUDE PROYECTS_kmz_GMD3E72_tmp_png_hs32x1@SCALE=1.1,msn_ylw-diamond25
-80.19141905,25.76565747,20176,Topographic Survey,2021 LONGITUDE PROYECTS_kmz_GMD3E72_tmp_png_hs32x1@SCALE=1.1,msn_ylw-diamond25
-80.18986494,25.76697409,20177,Topographic Survey,2021 LONGITUDE PROYECTS_kmz_GMD3E72_tmp_png_hs32x1@SCALE=1.1,msn_ylw-diamond25
-80.49007651,25.57046357,21001,Boundary Survey,2021 LONGITUDE PROYECTS_kmz_GMD3D33_tmp_png_hs32x1@SCALE=1.1,m_ylw-pushpin90
-80.13104212,25.88174131,21002,Boundary Survey,2021 LONGITUDE PROYECTS_kmz_GMD3D33_tmp_png_hs32x1@SCALE=1.1,m_ylw-pushpin90
-80.46122183,25.5373965,21003,Boundary Survey,2021 LONGITUDE PROYECTS_kmz_GMD3D33_tmp_png_hs32x1@SCALE=1.1,m_ylw-pushpin90
-80.25440175,25.70091567,21005,Stakeout,2021 LONGITUDE PROYECTS_kmz_GMD3E12_tmp_png_c00ff55aa@SCALE=1.2,msn_star470
-80.16881631,25.69613727,21006,Boundary Survey,2021 LONGITUDE PROYECTS_kmz_GMD3D33_tmp_png_hs32x1@SCALE=1.1,msn_B830
-80.19194501,26.04395891,21007,Boundary Survey,2021 LONGITUDE PROYECTS_kmz_GMD3D33_tmp_png_hs32x1@SCALE=1.1,msn_B830
-80.34759484,25.75202204,21008,Miscellaneous,2021 LONGITUDE PROYECTS_kmz_GMD3E12_tmp_png_c00ff55aa@SCALE=1.2,msn_star490
-80.40877211,25.73112882,21009,Boundary Survey,2021 LONGITUDE PROYECTS_kmz_GMD3D33_tmp_png_hs32x1@SCALE=1.1,msn_B8200
-80.28386667,25.29449032,21010,Boundary Survey,2021 LONGITUDE PROYECTS_kmz_GMD3D33_tmp_png_hs32x1@SCALE=1.1,msn_B8200
-80.18016966,25.82170546,21011,Boundary Survey,2021 LONGITUDE PROYECTS_kmz_GMD3D33_tmp_png_hs32x1@SCALE=1.1,msn_B8200
-80.10503774,26.17433873,21012,ALTA Survey,2021 LONGITUDE PROYECTS_kmz_GMD3D13_tmp_png@SCALE=1.2,msn_square1100
-80.29628942,25.30949651,21014,Boundary Survey,2021 LONGITUDE PROYECTS_kmz_GMD3D33_tmp_png_hs32x1@SCALE=1.1,msn_B7500
-81.00191389,24.73047436,21015,Unknown Point Feature,2021 LONGITUDE PROYECTS_kmz_GMD3E12_tmp_png_c00ff55aa@SCALE=1.2,msn_star480
-80.25903896,25.75648927,21016,Boundary Survey,2021 LONGITUDE PROYECTS_kmz_GMD3E12_tmp_png_c00ff55aa@SCALE=1.2,msn_star480
-80.26258009,25.72695674,21017,Boundary Survey,,
-80.25883585,25.75109482,21018,Boundary Survey,2021 LONGITUDE PROYECTS_kmz_GMD3D33_tmp_png_hs32x1@SCALE=1.1,msn_B770
-80.43023822,25.7156598,21019,Elevation Certificate,2021 LONGITUDE PROYECTS_kmz_GMD3DA3_tmp_png_hs32x1@SCALE=1.1,msn_E280
-80.13100608,25.86519402,21020,Engineering Services,2021 LONGITUDE PROYECTS_kmz_GMD3E12_tmp_png_c00ff55aa@SCALE=1.2,msn_star520
-80.5347945,25.5053077,21021,Boundary Survey,2021 LONGITUDE PROYECTS_kmz_GMD3D33_tmp_png_hs32x1@SCALE=1.1,msn_B810
-80.22837545,25.84626116,21022,Topographic Survey,2021 LONGITUDE PROYECTS_kmz_GMD3E72_tmp_png_hs32x1@SCALE=1.1,msn_ylw-diamond2400
-80.29018005,25.29731396,21023,Boundary Survey,2021 LONGITUDE PROYECTS_kmz_GMD3D33_tmp_png_hs32x1@SCALE=1.1,msn_B7400
-80.37087066,25.17004684,21024,Boundary Survey,2021 LONGITUDE PROYECTS_kmz_GMD3D33_tmp_png_hs32x1@SCALE=1.1,msn_B7400
-80.26128621,25.32685242,21025,Boundary Survey,2021 LONGITUDE PROYECTS_kmz_GMD3D33_tmp_png_hs32x1@SCALE=1.1,msn_B7400
-80.4255561,25.56493979,21026,ALTA Survey,2021 LONGITUDE PROYECTS_kmz_GMD3D13_tmp_png@SCALE=1.2,msn_square120
-80.31080338,25.63930582,21027,Boundary Survey,2021 LONGITUDE PROYECTS_kmz_GMD3D33_tmp_png_hs32x1@SCALE=1.1,msn_B780
-80.4836285,25.53851514,21028,Stakeout,2021 LONGITUDE PROYECTS_kmz_GMD3E12_tmp_png_c00ff55aa@SCALE=1.2,msn_star4600
-80.26447516,26.02889912,21029,Topographic Survey,,
-80.36771348,25.72616155,21030,Boundary Survey,2021 LONGITUDE PROYECTS_kmz_GMD3D33_tmp_png_hs32x1@SCALE=1.1,msn_B7600
-80.26279009,25.75175335,21031,Topographic Survey,2021 LONGITUDE PROYECTS_kmz_GMD3E72_tmp_png_hs32x1@SCALE=1.1,msn_ylw-diamond26
-80.39595538,25.51974588,21032,Boundary Survey,2021 LONGITUDE PROYECTS_kmz_GMD3D33_tmp_png_hs32x1@SCALE=1.1,msn_B790
-80.36558877,25.82110287,21033,Boundary Survey,2021 LONGITUDE PROYECTS_kmz_GMD3D33_tmp_png_hs32x1@SCALE=1.1,msn_B790
-80.29840001,25.95929283,21034,Boundary Survey;,2021 LONGITUDE PROYECTS_kmz_GMD3D33_tmp_png_hs32x1@SCALE=1.1,m_ylw-pushpin100
-80.1202219,25.86424533,21035,ALTA Survey,2021 LONGITUDE PROYECTS_kmz_GMD3D13_tmp_png@SCALE=1.2,msn_square130
